0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem;8
Engenharia Elétrica - integral - Bauru;60;1;8;4;10;3;13;5;2020-47-58.pdf;2020;
Engenharia Mecânica - integral - Bauru;60;5;8;0;11;2;13;5;2020-47-58.pdf;2020;
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";60;10;3;0;8;5;13;5;2020-47-58.pdf;2020;
Matemática - Licenciatura - noturno - Bauru;40;3;4;1;4;4;8;5;2020-47-58.pdf;2020;
Meteorologia - Bacharelado - integral - Bauru;40;2;1;0;1;2;3;5;2020-47-58.pdf;2020;
"Qu�mica - Bacharelado em Qu�mica Ambiental Tecnol�gica e Licenciatura em Qu�mica - noturno
- Bauru";40;2;5;0;5;2;7;5;2020-47-58.pdf;2020;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;7;2;0;5;4;9;5;2020-47-58.pdf;2020;
Arquitetura e Urbanismo - integral - Bauru;45;2;3;2;2;5;7;9;2020-47-58.pdf;2020;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;3;2;0;1;4;5;9;2020-47-58.pdf;2020;
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;1;2;0;0;3;3;9;2020-47-58.pdf;2020;
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;6;1;0;1;6;7;9;2020-47-58.pdf;2020;
Design (Design Gráﬁ co) - integral - Bauru;30;4;1;0;2;3;5;9;2020-47-58.pdf;2020;
Jornalismo - integral - Bauru;40;4;3;1;6;2;8;9;2020-47-58.pdf;2020;
Jornalismo - noturno - Bauru;50;3;3;1;4;3;7;9;2020-47-58.pdf;2020;
Pedagogia - Licenciatura - noturno - Bauru;40;3;2;0;0;5;5;10;2020-47-58.pdf;2020;
Psicologia - integral - Bauru;35;0;3;0;2;1;3;10;2020-47-58.pdf;2020;
Psicologia - noturno - Bauru;35;2;0;0;1;1;2;10;2020-47-58.pdf;2020;
Relações Públicas - noturno - Bauru;50;7;5;0;4;8;12;10;2020-47-58.pdf;2020;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;4;0;1;2;3;5;2;2021-49-60.pdf;2021;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;2;0;1;0;3;3;2;2021-49-60.pdf;2021;
Educação Física - Bacharelado - integral - Bauru;20;2;0;0;1;1;2;2;2021-49-60.pdf;2021;
Educação Física - Bacharelado - noturno - Bauru;20;3;0;0;1;2;3;2;2021-49-60.pdf;2021;
Educação Física - Licenciatura - integral - Bauru;20;4;0;1;4;1;5;2;2021-49-60.pdf;2021;
Educação Física - Licenciatura - noturno - Bauru;20;3;0;0;1;2;3;2;2021-49-60.pdf;2021;
Ciência da Computação - Bacharelado - integral - Bauru;30;6;1;0;7;0;7;5;2021-49-60.pdf;2021;
Engenharia Civil - integral - Bauru;60;3;5;0;2;6;8;5;2021-49-60.pdf;2021;
Engenharia de Produção - noturno - Bauru;40;1;1;0;2;0;2;5;2021-49-60.pdf;2021;
Engenharia Elétrica - integral - Bauru;60;11;1;0;10;2;12;5;2021-49-60.pdf;2021;
Engenharia Mecânica - integral - Bauru;60;6;1;0;7;0;7;5;2021-49-60.pdf;2021;
F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica - noturno - Bauru;60;5;0;0;4;1;5;5;2021-49-60.pdf;2021;
Matemática - Licenciatura - noturno - Bauru;40;3;0;0;2;1;3;5;2021-49-60.pdf;2021;
Meteorologia - Bacharelado - integral - Bauru;40;3;0;0;3;0;3;5;2021-49-60.pdf;2021;
Química - Bacharelado em Química Tecnológica - noturno - Bauru;20;2;1;0;1;2;3;5;2021-49-60.pdf;2021;
Química - Licenciatura - noturno - Bauru;20;1;0;0;1;0;1;5;2021-49-60.pdf;2021;
Sistemas de Informação - Bacharelado - noturno - Bauru;40;3;2;0;3;2;5;5;2021-49-60.pdf;2021;
Arquitetura e Urbanismo - integral - Bauru;45;3;0;0;0;3;3;9;2021-49-60.pdf;2021;
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;2;0;0;0;2;2;9;2021-49-60.pdf;2021;
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;2;1;0;1;2;3;9;2021-49-60.pdf;2021;
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;6;1;0;2;5;7;9;2021-49-60.pdf;2021;
Design (Design Gráﬁ co) - integral - Bauru;30;4;1;0;2;3;5;9;2021-49-60.pdf;2021;
Jornalismo - matutino - Bauru;40;6;1;0;5;2;7;9;2021-49-60.pdf;2021;
Jornalismo - noturno - Bauru;50;4;0;0;1;3;4;9;2021-49-60.pdf;2021;
Pedagogia - Licenciatura - noturno - Bauru;40;0;0;0;0;0;0;10;2021-49-60.pdf;2021;
Psicologia - integral - Bauru;35;0;0;0;0;0;0;10;2021-49-60.pdf;2021;
Psicologia - noturno - Bauru;35;2;0;0;0;2;2;10;2021-49-60.pdf;2021;
Relações Públicas - noturno - Bauru;50;2;0;0;1;1;2;10;2021-49-60.pdf;2021;
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;5;0;1;2;4;6;2;2022-48-59.pdf;2022;
Ciências Biológicas - Licenciatura - noturno - Bauru;40;3;0;0;0;3;3;2;2022-48-59.pdf;2022;
Educação Física - Bacharelado - integral - Bauru;20;2;1;0;3;0;3;2;2022-48-59.pdf;2022;
Educação Física - Bacharelado - noturno - Bauru;20;2;0;0;1;1;2;2;2022-48-59.pdf;2022;
Educação Física - Licenciatura - integral - Bauru;20;3;0;0;1;2;3;2;2022-48-59.pdf;2022;
Educação Física - Licenciatura - noturno - Bauru;20;3;0;0;2;1;3;2;2022-48-59.pdf;2022;
Ciência da Computação - Bacharelado - integral - Bauru;30;5;0;0;2;3;5;5;2022-48-59.pdf;2022;
Engenharia Civil - integral - Bauru;60;8;0;2;7;3;10;5;2022-48-59.pdf;2022;
