0;1;2;3;4;5;6;7;tabela_origem;arquivo_origem;ano_origem
Sistemas de Informação - Bacharelado - noturno - Bauru;40;5;2;2;7;2;9;6;2018-47-58.pdf;2018
Arquitetura e Urbanismo - integral - Bauru;45;2;0;0;2;0;2;11;2018-47-58.pdf;2018
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;4;2;3;5;4;9;11;2018-47-58.pdf;2018
Comunicação Social - Jornalismo - diurno - Bauru;40;2;0;1;1;2;3;11;2018-47-58.pdf;2018
Comunicação Social - Jornalismo - noturno - Bauru;50;8;2;8;9;9;18;11;2018-47-58.pdf;2018
Comunicação Social - Radialismo - diurno - Bauru;30;4;3;2;5;4;9;11;2018-47-58.pdf;2018
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;12;0;2;8;6;14;11;2018-47-58.pdf;2018
Design (Design Gráﬁ co) - diurno - Bauru;30;3;0;0;2;2;4;11;2018-47-58.pdf;2018
Pedagogia - Licenciatura - noturno - Bauru;40;8;3;1;4;9;13;12;2018-47-58.pdf;2018
Psicologia - integral - Bauru;35;4;0;0;4;0;4;12;2018-47-58.pdf;2018
Psicologia - noturno - Bauru;35;4;1;1;2;4;6;12;2018-47-58.pdf;2018
Relações Públicas - noturno - Bauru;50;5;2;3;3;7;10;12;2018-47-58.pdf;2018
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;5;0;1;2;4;6;3;2019-47-58.pdf;2019
Ciências Biológicas - Licenciatura - noturno - Bauru;40;12;0;0;4;8;12;3;2019-47-58.pdf;2019
Educação Física - Bacharelado - integral - Bauru;20;3;0;0;1;2;3;3;2019-47-58.pdf;2019
Educação Física - Bacharelado - noturno - Bauru;20;3;0;0;2;1;3;3;2019-47-58.pdf;2019
Educação Física - Licenciatura - integral - Bauru;20;2;0;4;3;3;6;3;2019-47-58.pdf;2019
Educação Física - Licenciatura - noturno - Bauru;20;2;0;0;0;2;2;3;2019-47-58.pdf;2019
Ciência da Computação - Bacharelado - integral - Bauru;30;4;0;0;4;0;4;6;2019-47-58.pdf;2019
Engenharia Civil - integral - Bauru;60;4;0;1;3;2;5;6;2019-47-58.pdf;2019
Engenharia Elétrica - integral - Bauru;60;8;0;0;7;1;8;6;2019-47-58.pdf;2019
Engenharia Mecânica - integral - Bauru;60;3;0;0;2;1;3;6;2019-47-58.pdf;2019
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em
F�sica - noturno - Bauru";60;11;0;1;6;6;12;6;2019-47-58.pdf;2019
Matemática - Licenciatura - noturno - Bauru;40;11;0;0;4;7;11;6;2019-47-58.pdf;2019
Meteorologia - Bacharelado - integral - Bauru;40;3;0;0;1;2;3;6;2019-47-58.pdf;2019
Química - Bacharelado em Química Ambiental Tecnológica - noturno - Bauru;20;2;0;2;3;1;4;6;2019-47-58.pdf;2019
Química - Licenciatura em Química - noturno - Bauru;20;7;0;0;2;5;7;6;2019-47-58.pdf;2019
Sistemas de Informação - Bacharelado - noturno - Bauru;40;7;0;0;7;0;7;6;2019-47-58.pdf;2019
Arquitetura e Urbanismo - integral - Bauru;45;3;0;0;0;3;3;11;2019-47-58.pdf;2019
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;10;0;1;7;4;11;11;2019-47-58.pdf;2019
Comunicação Social - Jornalismo - diurno - Bauru;40;5;0;0;2;3;5;11;2019-47-58.pdf;2019
Comunicação Social - Jornalismo - noturno - Bauru;50;7;0;0;4;3;7;11;2019-47-58.pdf;2019
Comunicação Social - Radialismo - diurno - Bauru;30;5;0;0;2;3;5;11;2019-47-58.pdf;2019
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;8;0;0;5;3;8;11;2019-47-58.pdf;2019
Design (Design Gráﬁ co) - diurno - Bauru;30;3;0;0;2;1;3;11;2019-47-58.pdf;2019
Pedagogia - Licenciatura - noturno - Bauru;40;12;0;1;2;11;13;12;2019-47-58.pdf;2019
Psicologia - integral - Bauru;35;5;0;0;0;5;5;12;2019-47-58.pdf;2019
Psicologia - noturno - Bauru;35;7;0;0;4;3;7;12;2019-47-58.pdf;2019
Relações Públicas - noturno - Bauru;50;6;0;0;0;6;6;12;2019-47-58.pdf;2019
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;3;0;0;2;1;3;3;2020-47-58.pdf;2020
Ciências Biológicas - Licenciatura - noturno - Bauru;40;6;3;0;6;3;9;3;2020-47-58.pdf;2020
Educação Física - Bacharelado - integral - Bauru;20;1;0;0;0;1;1;3;2020-47-58.pdf;2020
Educação Física - Bacharelado - noturno - Bauru;20;4;2;0;5;1;6;3;2020-47-58.pdf;2020
Educação Física - Licenciatura - integral - Bauru;20;0;1;0;1;0;1;3;2020-47-58.pdf;2020
Educação Física - Licenciatura - noturno - Bauru;20;1;0;0;1;0;1;3;2020-47-58.pdf;2020
Ciência da Computação - Bacharelado - integral - Bauru;30;0;1;0;1;0;1;6;2020-47-58.pdf;2020
Engenharia Civil - integral - Bauru;60;1;4;0;3;2;5;6;2020-47-58.pdf;2020
Engenharia de Produção - noturno - Bauru;40;1;0;1;1;1;2;6;2020-47-58.pdf;2020
Engenharia Elétrica - integral - Bauru;60;0;1;0;1;0;1;6;2020-47-58.pdf;2020
Engenharia Mecânica - integral - Bauru;60;2;4;1;5;2;7;6;2020-47-58.pdf;2020
noturno - Bauru;;;;;;;;6;2020-47-58.pdf;2020
Matemática - Licenciatura - noturno - Bauru;40;5;3;0;4;4;8;6;2020-47-58.pdf;2020
Meteorologia - Bacharelado - integral - Bauru;40;0;4;0;2;2;4;6;2020-47-58.pdf;2020
Qu�mica - Bacharelado em Qu�mica Ambiental Tecnol�gica e Licenciatura em Qu�mica - noturno - Bauru;40;2;6;1;4;5;9;6;2020-47-58.pdf;2020
Sistemas de Informação - Bacharelado - noturno - Bauru;40;3;1;1;5;0;5;6;2020-47-58.pdf;2020
Arquitetura e Urbanismo - integral - Bauru;45;1;3;0;0;4;4;11;2020-47-58.pdf;2020
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;6;0;1;2;5;7;11;2020-47-58.pdf;2020
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;1;2;0;1;2;3;11;2020-47-58.pdf;2020
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;8;1;0;3;6;9;11;2020-47-58.pdf;2020
Design (Design Gráﬁ co) - integral - Bauru;30;2;0;0;2;0;2;11;2020-47-58.pdf;2020
Jornalismo - integral - Bauru;40;2;1;0;1;2;3;11;2020-47-58.pdf;2020
Jornalismo - noturno - Bauru;50;2;3;1;1;5;6;11;2020-47-58.pdf;2020
Pedagogia - Licenciatura - noturno - Bauru;40;3;1;0;0;4;4;12;2020-47-58.pdf;2020
Psicologia - integral - Bauru;35;1;0;0;1;0;1;12;2020-47-58.pdf;2020
Psicologia - noturno - Bauru;35;5;3;0;3;5;8;12;2020-47-58.pdf;2020
Relações Públicas - noturno - Bauru;50;1;3;0;1;3;4;12;2020-47-58.pdf;2020
Ciências Biológicas - Bacharelado e Licenciatura - integral - Bauru;40;8;1;0;2;7;9;3;2021-49-60.pdf;2021
Ciências Biológicas - Licenciatura - noturno - Bauru;40;10;0;1;3;8;11;3;2021-49-60.pdf;2021
Educação Física - Bacharelado - integral - Bauru;20;3;0;0;2;1;3;3;2021-49-60.pdf;2021
Educação Física - Bacharelado - noturno - Bauru;20;2;0;0;1;1;2;3;2021-49-60.pdf;2021
Educação Física - Licenciatura - integral - Bauru;20;3;0;0;2;1;3;3;2021-49-60.pdf;2021
Educação Física - Licenciatura - noturno - Bauru;20;1;0;0;0;1;1;3;2021-49-60.pdf;2021
Ciência da Computação - Bacharelado - integral - Bauru;30;3;1;0;3;1;4;6;2021-49-60.pdf;2021
Engenharia Civil - integral - Bauru;60;6;2;0;4;4;8;6;2021-49-60.pdf;2021
Engenharia de Produção - noturno - Bauru;40;6;1;1;3;5;8;6;2021-49-60.pdf;2021
Engenharia Elétrica - integral - Bauru;60;2;3;0;4;1;5;6;2021-49-60.pdf;2021
Engenharia Mecânica - integral - Bauru;60;7;1;0;7;1;8;6;2021-49-60.pdf;2021
"F�sica - Bacharelado em F�sica de Materiais - vespertino/noturno e Licenciatura em F�sica -
noturno - Bauru";60;7;0;0;6;1;7;6;2021-49-60.pdf;2021
Matemática - Licenciatura - noturno - Bauru;40;2;0;0;1;1;2;6;2021-49-60.pdf;2021
Meteorologia - Bacharelado - integral - Bauru;40;0;0;0;0;0;0;6;2021-49-60.pdf;2021
Química - Bacharelado em Química Tecnológica - noturno - Bauru;20;4;0;0;2;2;4;6;2021-49-60.pdf;2021
Química - Licenciatura - noturno - Bauru;20;5;0;0;1;4;5;6;2021-49-60.pdf;2021
Sistemas de Informação - Bacharelado - noturno - Bauru;40;4;2;0;4;2;6;6;2021-49-60.pdf;2021
Arquitetura e Urbanismo - integral - Bauru;45;5;2;0;3;4;7;11;2021-49-60.pdf;2021
Artes Visuais - Bacharelado e Licenciatura - vespertino/noturno - Bauru;40;4;0;0;2;2;4;11;2021-49-60.pdf;2021
Comunica��o: R�dio, Televis�o e Internet - integral - Bauru;30;3;1;0;1;3;4;11;2021-49-60.pdf;2021
Design (Design Gráﬁ co ou Design de Produto) - noturno - Bauru;60;7;0;0;1;6;7;11;2021-49-60.pdf;2021
Design (Design Gráﬁ co) - integral - Bauru;30;1;1;0;1;1;2;11;2021-49-60.pdf;2021
Jornalismo - matutino - Bauru;40;4;1;0;1;4;5;11;2021-49-60.pdf;2021
Jornalismo - noturno - Bauru;50;6;0;0;2;4;6;11;2021-49-60.pdf;2021
Pedagogia - Licenciatura - noturno - Bauru;40;8;3;0;1;10;11;12;2021-49-60.pdf;2021
