0;1;2;3;4;5;6;7;8;tabela_origem;arquivo_origem;ano_origem;9;
Comunicação Social (Jornalismo) - noturno - Bauru;50;9;0;0;3;;6;9;9;2016-47-58.pdf;2016;;
Comunicação Social (Radialismo) - diurno - Bauru;30;1;0;1;2;;0;2;9;2016-47-58.pdf;2016;;
Comunicação Social (Relações Públicas) - noturno - Bauru;50;2;0;2;2;;2;4;9;2016-47-58.pdf;2016;;
Design (Design Gráﬁ co ou de Produto)- noturno - Bauru;60;4;0;0;2;;2;4;9;2016-47-58.pdf;2016;;
Design (Design Gráﬁ co)- diurno - Bauru;30;2;1;0;1;;2;3;9;2016-47-58.pdf;2016;;
Pedagogia (Lic) - noturno - Bauru;40;4;1;1;0;6;6;;10;2016-47-58.pdf;2016;;
Psicologia - integral - Bauru;35;3;1;1;1;4;5;;10;2016-47-58.pdf;2016;;
Arquitetura e Urbanismo - integral - Bauru;45;5;1;1;4;3;7;;11;2016-47-58.pdf;2016;;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;5;0;0;2;3;5;;11;2016-47-58.pdf;2016;;
Comunicação Social (Jornalismo) - diurno - Bauru;40;0;0;0;0;0;0;;11;2016-47-58.pdf;2016;;
Comunicação Social (Jornalismo) - noturno - Bauru;50;5;0;2;2;5;7;;11;2016-47-58.pdf;2016;;
Comunicação Social (Radialismo) - diurno - Bauru;30;4;0;0;3;1;4;;11;2016-47-58.pdf;2016;;
Comunicação Social (Relações Públicas) - noturno - Bauru;50;4;2;0;3;3;6;;11;2016-47-58.pdf;2016;;
Design (Design Gráﬁ co ou de Produto)- noturno - Bauru;60;9;0;0;4;5;9;;11;2016-47-58.pdf;2016;;
Design (Design Gráﬁ co)- diurno - Bauru;30;2;1;0;2;1;3;;11;2016-47-58.pdf;2016;;
Pedagogia (Lic) - noturno - Bauru;40;5;1;0;2;4;6;;12;2016-47-58.pdf;2016;;
Psicologia - integral - Bauru;35;1;1;0;1;1;2;;12;2016-47-58.pdf;2016;;
Psicologia - noturno - Bauru;35;3;0;0;0;3;3;;12;2016-47-58.pdf;2016;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;28;8;3;1;17;22;39;1;2017-47-58.pdf;2017;;
Ciências Biológicas (Lic) - noturno - Bauru;40;35;0;4;1;14;25;39;1;2017-47-58.pdf;2017;;
Educação Física (Bac/Lic) - integral - Bauru;40;30;9;1;0;26;14;40;1;2017-47-58.pdf;2017;;
Educação Física (Bac/Lic) - noturno - Bauru;40;34;4;2;0;27;13;40;1;2017-47-58.pdf;2017;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;3;1;0;1;3;4;;2;2017-47-58.pdf;2017;;
Ciências Biológicas (Lic) - noturno - Bauru;40;2;0;1;1;2;3;;2;2017-47-58.pdf;2017;;
Educação Física (Bac/Lic) - integral - Bauru;40;4;2;0;3;3;6;;2;2017-47-58.pdf;2017;;
Educação Física (Bac/Lic) - noturno - Bauru;40;6;2;0;5;3;8;;2;2017-47-58.pdf;2017;;
Ciências Biológicas (Bac/Lic) - integral - Bauru;40;6;1;1;3;5;8;;3;2017-47-58.pdf;2017;;
Ciências Biológicas (Lic) - noturno - Bauru;40;10;0;2;6;6;12;;3;2017-47-58.pdf;2017;;
Educação Física (Bac/Lic) - integral - Bauru;40;7;2;1;7;3;10;;3;2017-47-58.pdf;2017;;
Educação Física (Bac/Lic) - noturno - Bauru;40;15;1;2;12;6;18;;3;2017-47-58.pdf;2017;;
Ciência da Computação (Bac) - integral - Bauru;30;10;5;15;0;28;2;30;4;2017-47-58.pdf;2017;;
Engenharia Civil - integral - Bauru;60;16;6;38;0;40;20;60;4;2017-47-58.pdf;2017;;
Engenharia Elétrica - integral - Bauru;60;21;11;28;0;47;13;60;4;2017-47-58.pdf;2017;;
Engenharia Mecânica - integral - Bauru;60;9;8;43;0;54;6;60;4;2017-47-58.pdf;2017;;
em Física - noturno - Bauru;;;;;;;;;4;2017-47-58.pdf;2017;;
Matemática (Lic) - noturno - Bauru;40;34;3;13;-10;35;15;50;4;2017-47-58.pdf;2017;;
Meteorologia (Bac) - integral - Bauru;40;29;0;19;-8;26;22;48;4;2017-47-58.pdf;2017;;
Química - Bac em Química Ambiental Tecnológica e Lic em Química - noturno - Bauru;40;32;4;4;0;17;23;40;4;2017-47-58.pdf;2017;;
Sistemas de Informação (Bac) - noturno - Bauru;40;28;5;7;0;32;8;40;4;2017-47-58.pdf;2017;;
Ciência da Computação (Bac) - integral - Bauru;30;2;1;2;5;0;5;;5;2017-47-58.pdf;2017;;
Engenharia Civil - integral - Bauru;60;0;0;4;3;1;4;;5;2017-47-58.pdf;2017;;
Engenharia Elétrica - integral - Bauru;60;2;1;3;4;2;6;;5;2017-47-58.pdf;2017;;
Engenharia Mecânica - integral - Bauru;60;2;0;4;5;1;6;;5;2017-47-58.pdf;2017;;
noturno - Bauru;;;;;;;;;5;2017-47-58.pdf;2017;;
Matemática (Lic) - noturno - Bauru;40;6;1;2;6;3;9;;5;2017-47-58.pdf;2017;;
Meteorologia (Bac) - integral - Bauru;40;8;0;0;5;3;8;;5;2017-47-58.pdf;2017;;
Química - Bac em Química Ambiental Tecnológica e Lic em Química - noturno - Bauru;40;4;2;1;4;3;7;;5;2017-47-58.pdf;2017;;
Sistemas de Informação (Bac) - noturno - Bauru;40;1;1;1;3;0;3;;5;2017-47-58.pdf;2017;;
Ciência da Computação (Bac) - integral - Bauru;30;6;0;3;8;1;9;;6;2017-47-58.pdf;2017;;
Engenharia Civil - integral - Bauru;60;4;1;9;9;5;14;;6;2017-47-58.pdf;2017;;
Engenharia Elétrica - integral - Bauru;60;4;1;6;10;1;11;;6;2017-47-58.pdf;2017;;
Engenharia Mecânica - integral - Bauru;60;3;1;9;12;1;13;;6;2017-47-58.pdf;2017;;
Física - noturno - Bauru;;;;;;;;;6;2017-47-58.pdf;2017;;
Matemática (Lic) - noturno - Bauru;40;5;0;3;5;3;8;;6;2017-47-58.pdf;2017;;
Meteorologia (Bac) - integral - Bauru;40;6;0;3;6;3;9;;6;2017-47-58.pdf;2017;;
Química - Bac em Química Ambiental Tecnológica e Lic em Química - noturno - Bauru;40;7;0;1;2;6;8;;6;2017-47-58.pdf;2017;;
Sistemas de Informação (Bac) - noturno - Bauru;40;9;2;2;7;6;13;;6;2017-47-58.pdf;2017;;
Arquitetura e Urbanismo - integral - Bauru;45;30;2;13;0;16;;29;7;2017-47-58.pdf;2017;45;
Artes Visuais (Bac/Lic) - vespertino/noturno - Bauru;40;37;2;1;0;9;;31;7;2017-47-58.pdf;2017;40;
Comunicação Social - Jornalismo - diurno - Bauru;40;22;8;10;0;10;;30;7;2017-47-58.pdf;2017;40;
Comunicação Social - Jornalismo - noturno - Bauru;50;33;6;11;0;20;;30;7;2017-47-58.pdf;2017;50;
Comunicação Social - Radialismo - diurno - Bauru;30;21;2;8;-1;13;;18;7;2017-47-58.pdf;2017;31;
Design (Design Gráfico ou Design de Produto) - noturno - Bauru;60;54;5;1;0;32;;28;7;2017-47-58.pdf;2017;60;
Design (Design Gráfico) - diurno - Bauru;30;24;1;5;0;12;;18;7;2017-47-58.pdf;2017;30;
Pedagogia (Lic) - noturno - Bauru;40;36;3;1;0;4;36;40;8;2017-47-58.pdf;2017;;
Psicologia - integral - Bauru;35;18;6;11;0;17;18;35;8;2017-47-58.pdf;2017;;
Psicologia - noturno - Bauru;35;27;3;5;0;15;20;35;8;2017-47-58.pdf;2017;;
Relações Públicas - noturno - Bauru;50;29;9;12;0;16;34;50;8;2017-47-58.pdf;2017;;
Arquitetura e Urbanismo - integral - Bauru;45;1;0;1;1;;1;2;9;2017-47-58.pdf;2017;;
