curso,vagas,convocados,lista_espera,relacao_adic,vagas_reman,masc,fem,total,metodo_ingresso,area
Engenharia Mecânica - integral - Bauru,60.0,,,,,,,,isento_carente,Biológicas
Engenharia Mecânica - integral - Guaratinguetá,60.0,,,,,,,,isento_carente,Biológicas
Engenharia Mecânica - integral - Ilha Solteira,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Mecânica - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,isento_carente,Biológicas
Engenharia Mecânica - noturno - Guaratinguetá,30.0,,,,,,,,isento_carente,Biológicas
Engenharia Química - integral - Araraquara,40.0,,,,,,,,isento_carente,Biológicas
Estatística - integral - Presidente Prudente,30.0,,,,,,,,isento_carente,Biológicas
Física - Bacharelado e Licenciatura - integral - Rio Claro,40.0,,,,,,,,isento_carente,Biológicas
Física - Bacharelado e Licenciatura - noturno - Guaratinguetá,40.0,,,,,,,,isento_carente,Biológicas
Física - Bacharelado em Física Biológica e Licenciatura em Física - integral - São José do Rio,,,,,,,,,isento_carente,Biológicas
,50.0,,,,,,,,isento_carente,Biológicas
Preto,,,,,,,,,isento_carente,Biológicas
Física - Bacharelado em Física de Materiais - vespertino/noturno e Licenciatura em Física - noturno,,,,,,,,,isento_carente,Biológicas
,60.0,,,,,,,,isento_carente,Biológicas
- Bauru,,,,,,,,,isento_carente,Biológicas
Física - Licenciatura - noturno - Ilha Solteira,30.0,,,,,,,,isento_carente,Biológicas
Física - Licenciatura - noturno - Presidente Prudente,30.0,,,,,,,,isento_carente,Biológicas
Física Médica - integral - Botucatu,40.0,,,,,,,,isento_carente,Biológicas
Geologia - integral - Rio Claro,35.0,,,,,,,,isento_carente,Biológicas
Matemática - Bacharelado e Licenciatura - integral - Rio Claro,40.0,,,,,,,,isento_carente,Biológicas
Matemática - Bacharelado e Licenciatura - integral - São José do Rio Preto,55.0,,,,,,,,isento_carente,Biológicas
Matemática - Licenciatura - matutino - Presidente Prudente,40.0,,,,,,,,isento_carente,Biológicas
Matemática - Licenciatura - noturno - Bauru,40.0,,,,,,,,isento_carente,Biológicas
Matemática - Licenciatura - noturno - Guaratinguetá,30.0,,,,,,,,isento_carente,Biológicas
Matemática - Licenciatura - noturno - Ilha Solteira,30.0,,,,,,,,isento_carente,Biológicas
Matemática - Licenciatura - noturno - Presidente Prudente,50.0,,,,,,,,isento_carente,Biológicas
Matemática - Licenciatura - noturno - São José do Rio Preto,45.0,,,,,,,,isento_carente,Biológicas
Meteorologia - Bacharelado - integral - Bauru,40.0,,,,,,,,isento_carente,Biológicas
Química - Bacharelado em Química Ambiental e Licenciatura em Química - integral - São José,,,,,,,,,isento_carente,Biológicas
,50.0,,,,,,,,isento_carente,Biológicas
do Rio Preto,,,,,,,,,isento_carente,Biológicas
Química - Bacharelado em Química e em Química Tecnológica - integral - Araraquara,50.0,,,,,,,,isento_carente,Biológicas
Química - Bacharelado em Química Tecnológica - vespertino-noturno - Bauru,20.0,,,,,,,,isento_carente,Biológicas
Química - Licenciatura - noturno - Araraquara,30.0,,,,,,,,isento_carente,Biológicas
Química - Licenciatura - noturno - Bauru,20.0,,,,,,,,isento_carente,Biológicas
Química - Licenciatura - noturno - Presidente Prudente,40.0,,,,,,,,isento_carente,Biológicas
Sistemas de Informação - Bacharelado - noturno - Bauru,40.0,,,,,,,,isento_carente,Biológicas
| 52 |,,,,,,,,,isento_carente,Biológicas
,,,,,,,,,isento_carente,Exatas
,,,,,,,,,isento_carente,Exatas
,,,,,,,,,isento_carente,Exatas
,,,,,,,,,isento_carente,Exatas
Ciência da Computação - Bacharelado - integral - Bauru,30.0,,,,,,,,isento_carente,Exatas
Ciência da Computação - Bacharelado - integral - São José do Rio Preto,35.0,,,,,,,,isento_carente,Exatas
Ciência da Computação - Bacharelado - vespertino/noturno - Presidente Prudente,35.0,,,,,,,,isento_carente,Exatas
Ciências da Computação - Bacharelado - integral - Rio Claro,30.0,,,,,,,,isento_carente,Exatas
Ciências da Computação - Bacharelado - noturno - Rio Claro,30.0,,,,,,,,isento_carente,Exatas
Engenharia Aeronáutica - integral - São João da Boa Vista,40.0,,,,,,,,isento_carente,Exatas
Engenharia Ambiental - integral - Presidente Prudente,35.0,,,,,,,,isento_carente,Exatas
Engenharia Ambiental - integral - Rio Claro,30.0,,,,,,,,isento_carente,Exatas
Engenharia Ambiental - integral - São José dos Campos,40.0,,,,,,,,isento_carente,Exatas
Engenharia Ambiental - integral - Sorocaba,40.0,,,,,,,,isento_carente,Exatas
Engenharia Biotecnológica - integral - Assis,45.0,,,,,,,,isento_carente,Exatas
Engenharia Cartográﬁ ca e de Agrimensura - integral - Presidente Prudente,40.0,,,,,,,,isento_carente,Exatas
Engenharia Civil - integral - Bauru,60.0,,,,,,,,isento_carente,Exatas
Engenharia Civil - integral - Guaratinguetá,40.0,,,,,,,,isento_carente,Exatas
Engenharia Civil - integral - Ilha Solteira,40.0,,,,,,,,isento_carente,Exatas
Engenharia Civil - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Alimentos - integral - São José do Rio Preto,30.0,,,,,,,,isento_carente,Exatas
Engenharia de Bioprocessos e Biotecnologia - integral - Araraquara,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Bioprocessos e Biotecnologia - integral - Botucatu,50.0,,,,,,,,isento_carente,Exatas
Engenharia de Biossistemas - integral - Tupã,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Controle e Automação - integral - Sorocaba,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Energia - integral - Rosana,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Materiais - integral - Guaratinguetá,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Produção - integral - Guaratinguetá,30.0,,,,,,,,isento_carente,Exatas
Engenharia de Produção - vespertino/noturno - Bauru,40.0,,,,,,,,isento_carente,Exatas
Engenharia de Produção - vespertino/noturno - Itapeva,40.0,,,,,,,,isento_carente,Exatas
Engenharia Elétrica - integral - Bauru,60.0,,,,,,,,isento_carente,Exatas
Engenharia Elétrica - integral - Guaratinguetá,40.0,,,,,,,,isento_carente,Exatas
Engenharia Elétrica - integral - Ilha Solteira,40.0,,,,,,,,isento_carente,Exatas
Engenharia Elétrica - integral (com ingresso no meio do ano) - Ilha Solteira,40.0,,,,,,,,isento_carente,Exatas
